disynthon,R
C#Cc1cccc(CN(C)C)c1.O=C(O)c1cccs1,0.6404942414720702
C#Cc1cccc(CN(C)C)c1.O=C(c1ccccc1)C1CC1,2.5041225699759346
C#Cc1cccc(CN(C)C)c1.O=[N+]([O-])c1ccccc1,0.5772355509563102
C#Cc1cccc(CN(C)C)c1.OC1(c2ccccc2)CCC1,0.6885098740322254
C#Cc1cccc(CN(C)C)c1.OCc1cccs1,1.236933323477808
C#Cc1cccc(CN(C)C)c1.Oc1ccccn1,1.1403921860356376
C#Cc1cccc(CN(C)C)c1.c1ccc(CN2CCCC2)cc1,1.4801738429550075
C#Cc1cccc(CN(C)C)c1.c1ccc(N2CCCC2)nc1,1.4168508978018521
C#Cc1cccc(CN(C)C)c1.c1ccc(N2CCOCC2)cc1,0.8957103376908263
C#Cc1cccc(CN(C)C)c1.c1ccc(N2CCOCC2)nc1,0.44529599645201057
C#Cc1cccc(CN(C)C)c1.c1ccc(OC2CCCC2)cc1,0.43623144690591387
C#Cc1cccc(CN(C)C)c1.c1ccc2[nH]ccc2c1,0.4691245447571351
C#Cc1cccc(CN(C)C)c1.c1ccc2c(c1)CCCC2,0.6885098740322254
C#Cc1cccc(CN(C)C)c1.c1ccc2c(c1)OCO2,1.4526638746815201
C#Cc1cccc(CN(C)C)c1.c1ccc2nonc2c1,1.2197238163685513
C#Cc1cccc(CN(C)C)c1.c1ccc2occc2c1,0.997043224379081
C#Cc1cccc(CN(C)C)c1.c1ccccc1,1.8023885570676628
C#Cc1cccc(CN(C)C)c1.c1ccncc1,1.4811618605389574
C#Cc1cccc(CN(C)C)c1.c1cnc(C2CC2)nc1,1.5893745992084707
C#Cc1cccc(CN(C)C)c1.c1cnc(N2CCCCC2)nc1,0.7101243108886981
C#Cc1cccc(CN(C)C)c1.c1cnc(N2CCOCC2)nc1,0.7101243108886981
C#Cc1cccc(CN(C)C)c1.c1cncnc1,1.3063751942695438
C#Cc1cccc(CN(C)C)c1.c1cnn(Cc2ccncc2)c1,2.521607933124934
C=CC=CS(=O)(=O)N(C)C.C1=CCCCC1,2.8298620912736188
C=CC=CS(=O)(=O)N(C)C.C1=CCCCCC1,4.346937108222011
C=CC=CS(=O)(=O)N(C)C.C1=Cc2ccccc2C1,2.521607933124934
C=CC=CS(=O)(=O)N(C)C.C=CC(=O)Nc1ccccc1,0.972348655354212
C=CC=CS(=O)(=O)N(C)C.C=CC(C)(C)C,1.977497274566456
C=CC=CS(=O)(=O)N(C)C.C=CC1CCCCC1,1.9170724354295494
C=CC=CS(=O)(=O)N(C)C.CC(=O)NCc1ccccc1,1.7164493255308781
C=CC=CS(=O)(=O)N(C)C.CC(=O)Nc1ccccc1,3.225406230225071
C=CC=CS(=O)(=O)N(C)C.CC(=O)c1ccco1,1.7052683833594815
